experiment,control,mode,genome
SRX113814,NA,DRIVE,hg38
SRX113813,NA,DRIP,hg38
SRX113812,NA,DRIP,hg38
SRX1674681,NA,DRIPc,mm10
SRX1070676,NA,DRIPc,hg38
SRX1070677,NA,DRIPc,hg38
SRX1070678,NA,DRIP,hg38
SRX1070679,NA,DRIP,hg38
SRX1070680,NA,DRIP,hg38
SRX1070681,NA,DRIP,hg38
SRX1070682,NA,DRIP,hg38
SRX1070683,NA,DRIP,mm10
SRX1070684,NA,DRIP,mm10
SRX2455194,NA,DRIP,hg38
SRX2455195,SRX2455194,DRIP,hg38
SRX2455188,NA,DRIP,hg38
SRX2455191,SRX2455188,DRIP,hg38
SRX2455190,NA,DRIP,hg38
SRX2455189,SRX2455190,DRIP,hg38
SRX2455193,NA,DRIP,hg38
SRX2455192,SRX2455193,DRIP,hg38
SRX1029475,SRX1029476,RDIP,hg38
SRX1029476,NA,RDIP,hg38
SRX1029477,SRX1029478,RDIP,hg38
SRX1029478,NA,RDIP,hg38
SRX1798983,SRX1798984,DRIP,hg38
SRX1798984,NA,DRIP,hg38
SRX1798985,SRX1798984,DRIP,hg38
SRX1798986,SRX1798987,DRIP,hg38
SRX1798987,NA,DRIP,hg38
SRX1798988,SRX1798990,DRIP,hg38
SRX1798989,SRX1798990,DRIP,hg38
SRX1798990,NA,DRIP,hg38
SRX978416,NA,DRIPc,mm10
SRX978417,NA,DRIPc,mm10
SRX2675003,SRX2675004,R-ChIP,hg38
SRX2675004,NA,R-ChIP,hg38
SRX2675005,SRX2675006,R-ChIP,hg38
SRX2675006,NA,R-ChIP,hg38
SRX2675007,SRX2675008,R-ChIP,hg38
SRX2675008,NA,R-ChIP,hg38
SRX2675009,SRX2675010,R-ChIP,hg38
SRX2675010,NA,R-ChIP,hg38
SRX2675011,NA,R-ChIP,hg38
SRX2675012,SRX2675015,R-ChIP,hg38
SRX2675013,SRX2675015,R-ChIP,hg38
SRX2675015,NA,R-ChIP,hg38
SRX2675016,NA,R-ChIP,hg38
SRX2675017,NA,R-ChIP,hg38
SRX2675018,NA,R-ChIP,hg38
SRX2675019,NA,R-ChIP,hg38
SRX2675020,NA,R-ChIP,hg38
SRX2675021,NA,R-ChIP,hg38
SRX4089416,SRX2675015,R-ChIP,hg38
SRX4231163,NA,DRIP,hg38
SRX4231164,NA,DRIP,hg38
SRX4231165,NA,DRIP,hg38
SRX4231166,NA,DRIP,hg38
SRX4231167,NA,DRIP,hg38
SRX4231168,NA,DRIP,hg38
SRX6893683,NA,DRIP,hg38
SRX6893684,NA,DRIP,hg38
SRX6893685,NA,DRIP,hg38
SRX4732954,NA,RDIP,hg38
SRX4732955,NA,RDIP,hg38
SRX4732956,NA,RDIP,hg38
SRX4732957,NA,RDIP,hg38
SRX4457337,SRX6871666,DRIP,hg38
SRX6871666,NA,DRIP,hg38
SRX3084730,NA,DRIP,hg38
SRX3084731,NA,DRIP,hg38
SRX3084732,NA,DRIP,hg38
SRX3084733,NA,DRIP,hg38
SRX3084734,NA,DRIPc,hg38
SRX3084735,NA,DRIPc,hg38
SRX3084736,NA,DRIPc,hg38
SRX3084737,NA,DRIPc,hg38
SRX1025890,SRX1025893,DRIP,hg38
SRX1025891,SRX1025893,DRIP,hg38
SRX1025892,SRX1025893,DRIP,hg38
SRX1025893,NA,DRIP,hg38
SRX1025894,SRX1025897,DRIP,hg38
SRX1025895,SRX1025897,DRIP,hg38
SRX1025896,SRX1025897,DRIP,hg38
SRX1025897,NA,DRIP,hg38
SRX1025898,SRX1025901,DRIP,hg38
SRX1025899,SRX1025901,DRIP,hg38
SRX1025900,SRX1025901,DRIP,hg38
SRX1025901,NA,DRIP,hg38
SRX1025902,SRX1025905,DRIP,hg38
SRX1025903,SRX1025905,DRIP,hg38
SRX1025904,SRX1025905,DRIP,hg38
SRX1025905,NA,DRIP,hg38
SRX1025906,SRX1025915,DRIP,hg38
SRX1025907,SRX1025915,DRIP,hg38
SRX1025908,SRX1025915,DRIP,hg38
SRX1025909,SRX1025915,DRIP,hg38
SRX1025910,SRX1025915,DRIP,hg38
SRX1025911,SRX1025915,DRIP,hg38
SRX1025912,SRX1025915,DRIP,hg38
SRX1025913,SRX1025915,DRIP,hg38
SRX1025914,SRX1025915,DRIP,hg38
SRX1025915,NA,DRIP,hg38
SRX2733011,NA,DRIP,hg38
SRX2733012,NA,DRIP,hg38
SRX2733013,NA,DRIP,hg38
SRX2733014,NA,DRIP,hg38
SRX2481503,SRX2481504,DRIP,hg38
SRX2481504,NA,DRIP,hg38
SRX2918366,SRX2918367,DRIP,hg38
SRX2918367,NA,DRIP,hg38
SRX2642935,NA,DRIP,hg38
SRX2642936,NA,DRIP,hg38
SRX2642937,NA,DRIP,hg38
SRX2642938,NA,DRIP,hg38
SRX2642939,NA,DRIP,hg38
SRX2642940,NA,DRIP,hg38
SRX2642941,NA,DRIP,hg38
SRX2642942,NA,DRIP,hg38
SRX2642943,NA,DRIP,hg38
SRX2642944,NA,DRIP,hg38
SRX2642945,NA,DRIP,hg38
SRX2642946,NA,DRIP,hg38
SRX2642947,NA,DRIP,hg38
SRX2642948,NA,DRIP,hg38
SRX2642949,NA,DRIP,hg38
SRX2642950,NA,DRIP,hg38
SRX2642951,NA,DRIP,hg38
SRX2642952,NA,DRIP,hg38
SRX2642953,NA,DRIP,hg38
SRX2642954,NA,DRIP,hg38
SRX2642955,NA,DRIP,hg38
SRX2642956,NA,DRIP,hg38
SRX2642957,NA,DRIP,hg38
SRX2642958,NA,DRIP,hg38
SRX2642959,NA,DRIP,hg38
SRX2642960,NA,DRIP,hg38
SRX2642961,NA,DRIP,hg38
SRX2642962,NA,DRIP,hg38
SRX2642963,NA,DRIP,hg38
SRX2642964,NA,DRIP,hg38
SRX2642965,NA,DRIP,hg38
SRX2642966,NA,DRIP,hg38
SRX2642969,NA,DRIP,hg38
SRX2642970,NA,DRIP,hg38
SRX2187015,NA,DRIP,hg38
SRX2187016,NA,DRIP,hg38
SRX2187017,NA,DRIP,hg38
SRX2187018,NA,DRIP,hg38
SRX2187019,SRX2187015,DRIP,hg38
SRX2187020,SRX2187016,DRIP,hg38
SRX2187021,SRX2187017,DRIP,hg38
SRX2187022,SRX2187018,DRIP,hg38
SRX2187023,SRX2187015,DRIP,hg38
SRX2187024,SRX2187016,DRIP,hg38
SRX2187025,SRX2187017,DRIP,hg38
SRX2187026,SRX2187018,DRIP,hg38
SRX534093,NA,DRIP,hg38
SRX534094,SRX534093,DRIP,hg38
SRX534095,SRX534093,DRIP,hg38
SRX534096,SRX534093,DRIP,hg38
SRX534097,SRX534093,DRIP,hg38
SRX534098,SRX534093,DRIP,hg38
SRX534099,SRX534093,DRIP,hg38
SRX534100,SRX534093,DRIP,hg38
SRX550078,SRX534093,DRIP,hg38
SRX969060,SRX534093,DRIP,hg38
SRX969059,SRX534093,DRIP,hg38
SRX255720,NA,DRIP,hg38
SRX255721,SRX255720,DRIP,hg38
SRX255722,NA,DRIP,hg38
SRX255723,SRX255722,DRIP,hg38
SRX255724,SRX255722,DRIP,hg38
SRX2683572,NA,R-ChIP,hg38
SRX2683573,NA,R-ChIP,hg38
SRX2683574,SRX2683572,R-ChIP,hg38
SRX2683575,SRX2683573,R-ChIP,hg38
SRX2683576,NA,R-ChIP,hg38
SRX2683577,NA,R-ChIP,hg38
SRX2683578,SRX2683576,R-ChIP,hg38
SRX2683579,SRX2683577,R-ChIP,hg38
SRX2683584,NA,R-ChIP,hg38
SRX2683585,NA,R-ChIP,hg38
SRX2683586,SRX2683584,R-ChIP,hg38
SRX2683587,SRX2683585,R-ChIP,hg38
SRX2683588,NA,R-ChIP,hg38
SRX2683589,NA,R-ChIP,hg38
SRX2683590,SRX2683588,R-ChIP,hg38
SRX2683591,SRX2683589,R-ChIP,hg38
SRX2683594,SRX2683596,R-ChIP,hg38
SRX2683595,SRX2683596,R-ChIP,hg38
SRX2683596,NA,R-ChIP,hg38
SRX2683597,SRX2683596,R-ChIP,hg38
SRX2683598,SRX2683596,R-ChIP,hg38
SRX2683601,SRX2683603,R-ChIP,hg38
SRX2683602,SRX2683603,R-ChIP,hg38
SRX2683603,NA,R-ChIP,hg38
SRX2683604,SRX2683603,R-ChIP,hg38
SRX2683605,SRX2683603,R-ChIP,hg38
SRX2683608,SRX2683612,R-ChIP,hg38
SRX2683609,SRX2683612,R-ChIP,hg38
SRX2683610,SRX2683612,R-ChIP,hg38
SRX2683611,SRX2683612,R-ChIP,hg38
SRX2683612,NA,R-ChIP,hg38
SRX7299430,NA,R-ChIP,hg38
SRX7299431,SRX7299430,R-ChIP,hg38
SRX7299434,NA,R-ChIP,hg38
SRX7299435,SRX7299434,R-ChIP,hg38
SRX5547605,NA,RR-ChIP,hg38
SRX5547606,NA,RR-ChIP,hg38
SRX5547607,NA,RR-ChIP,hg38
SRX6779956,NA,RR-ChIP,hg38
SRX6779957,NA,RDIP,hg38
SRX6779958,NA,RR-ChIP,hg38
SRX6779959,NA,RDIP,hg38
SRX7671349,NA,RDIP,hg38
SRX4776615,SRX4776616,MapR,hg38
SRX4776616,NA,MapR,hg38
