accfile,sup,type,assembly,date,url,output_type,biol_reps,acc,best_samps,dateMax,tissue,GENEID,SYMBOL
ENCFF128BDG,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF128BDG/@@download/ENCFF128BDG.bed.gz,peaks,1_2,ENCSR825SVO,1_2,2018-12-03,K562,ENSG00000090861,AARS
ENCFF941GJK,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF941GJK/@@download/ENCFF941GJK.bed.gz,peaks,1_2,ENCSR089BXO,1_2,2018-12-03,K562,ENSG00000204574,ABCF1
ENCFF992LCW,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF992LCW/@@download/ENCFF992LCW.bed.gz,peaks,1_2,ENCSR543TPH,1_2,2018-12-03,HepG2,ENSG00000164252,AGGF1
ENCFF810NKV,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF810NKV/@@download/ENCFF810NKV.bed.gz,peaks,1_2,ENCSR725ARB,1_2,2018-12-03,K562,ENSG00000164252,AGGF1
ENCFF749IUB,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF749IUB/@@download/ENCFF749IUB.bed.gz,peaks,1_2,ENCSR356ZMO,1_2,2018-12-03,HepG2,ENSG00000121057,AKAP1
ENCFF033EFV,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF033EFV/@@download/ENCFF033EFV.bed.gz,peaks,1_2,ENCSR177QQY,1_2,2018-12-03,K562,ENSG00000121057,AKAP1
ENCFF205UTG,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF205UTG/@@download/ENCFF205UTG.bed.gz,peaks,1_2,ENCSR206RXT,1_2,2018-12-03,K562,ENSG00000011243,AKAP8L
ENCFF472CCL,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF472CCL/@@download/ENCFF472CCL.bed.gz,peaks,1_2,ENCSR739VVT,1_2,2018-12-03,K562,ENSG00000244509,APOBEC3C
ENCFF323PUC,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF323PUC/@@download/ENCFF323PUC.bed.gz,peaks,1_2,ENCSR018WPY,1_2,2018-12-03,HepG2,ENSG00000021776,AQR
ENCFF949QGM,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF949QGM/@@download/ENCFF949QGM.bed.gz,peaks,1_2,ENCSR606BPV,1_2,2018-12-03,K562,ENSG00000021776,AQR
