mark,links
H3K27ac,https://www.encodeproject.org/files/ENCFF805FFP/@@download/ENCFF805FFP.bed.gz
H3K27ac,https://www.encodeproject.org/files/ENCFF518VCX/@@download/ENCFF518VCX.bed.gz
H3K27ac,https://www.encodeproject.org/files/ENCFF926NKP/@@download/ENCFF926NKP.bed.gz
H3K27ac,https://www.encodeproject.org/files/ENCFF530TUK/@@download/ENCFF530TUK.bed.gz
H3K27ac,https://www.encodeproject.org/files/ENCFF023LTU/@@download/ENCFF023LTU.bed.gz
H3K27ac,https://www.encodeproject.org/files/ENCFF035VXU/@@download/ENCFF035VXU.bed.gz
H3K27ac,https://www.encodeproject.org/files/ENCFF317QGQ/@@download/ENCFF317QGQ.bed.gz
H3K27ac,https://www.encodeproject.org/files/ENCFF553MQN/@@download/ENCFF553MQN.bed.gz
H3K27ac,https://www.encodeproject.org/files/ENCFF922LHZ/@@download/ENCFF922LHZ.bed.gz
H3K27ac,https://www.encodeproject.org/files/ENCFF805GNH/@@download/ENCFF805GNH.bed.gz
H3K27ac,https://www.encodeproject.org/files/ENCFF437OIO/@@download/ENCFF437OIO.bed.gz
H3K27ac,https://www.encodeproject.org/files/ENCFF757HGV/@@download/ENCFF757HGV.bed.gz
H3K27ac,https://www.encodeproject.org/files/ENCFF405SDB/@@download/ENCFF405SDB.bed.gz
H3K27ac,https://www.encodeproject.org/files/ENCFF899XEF/@@download/ENCFF899XEF.bed.gz
H3K27ac,https://www.encodeproject.org/files/ENCFF831XSS/@@download/ENCFF831XSS.bed.gz
H3K27ac,https://www.encodeproject.org/files/ENCFF371BKL/@@download/ENCFF371BKL.bed.gz
H3K27ac,https://www.encodeproject.org/files/ENCFF340KSH/@@download/ENCFF340KSH.bed.gz
H3K27ac,https://www.encodeproject.org/files/ENCFF097LTN/@@download/ENCFF097LTN.bed.gz
H3K9ac,https://www.encodeproject.org/files/ENCFF436XTS/@@download/ENCFF436XTS.bed.gz
H3K9ac,https://www.encodeproject.org/files/ENCFF069KAG/@@download/ENCFF069KAG.bed.gz
H3K9ac,https://www.encodeproject.org/files/ENCFF306KRD/@@download/ENCFF306KRD.bed.gz
H3K9ac,https://www.encodeproject.org/files/ENCFF105NDA/@@download/ENCFF105NDA.bed.gz
