rl,toChoose,exp
SRX1070676,study_tissue_genotype_other,SRX1070685
SRX1070676,study_tissue_genotype_other,SRX1070686
SRX1070677,study_tissue_genotype_other,SRX1070685
SRX1070677,study_tissue_genotype_other,SRX1070686
SRX1070678,study_tissue_genotype_other,SRX1070685
SRX1070678,study_tissue_genotype_other,SRX1070686
SRX1070679,study_tissue_genotype_other,SRX1070685
SRX1070679,study_tissue_genotype_other,SRX1070686
SRX3084731,study_tissue_genotype_other,SRX3084742
SRX3084731,study_tissue_genotype_other,SRX3084743
SRX3084732,study_tissue_genotype_other,SRX3084744
SRX3084732,study_tissue_genotype_other,SRX3084745
SRX3084733,study_tissue_genotype_other,SRX3084744
SRX3084733,study_tissue_genotype_other,SRX3084745
SRX2187015,study_tissue_genotype_other,SRX2186999
SRX2187015,study_tissue_genotype_other,SRX2187000
SRX2187015,study_tissue_genotype_other,SRX2187001
SRX2187016,study_tissue_genotype_other,SRX2186999
SRX2187016,study_tissue_genotype_other,SRX2187000
SRX2187016,study_tissue_genotype_other,SRX2187001
SRX2187017,study_tissue_genotype_other,SRX2187003
SRX2187017,study_tissue_genotype_other,SRX2187004
SRX2187017,study_tissue_genotype_other,SRX2187005
SRX2187017,study_tissue_genotype_other,SRX2187006
SRX2187017,study_tissue_genotype_other,SRX2187007
SRX2187018,study_tissue_genotype_other,SRX2187003
SRX2187018,study_tissue_genotype_other,SRX2187004
SRX2187018,study_tissue_genotype_other,SRX2187005
SRX2187018,study_tissue_genotype_other,SRX2187006
SRX2187018,study_tissue_genotype_other,SRX2187007
SRX2187019,study_tissue_genotype_other,SRX2186999
SRX2187019,study_tissue_genotype_other,SRX2187000
SRX2187019,study_tissue_genotype_other,SRX2187001
SRX2187020,study_tissue_genotype_other,SRX2186999
SRX2187020,study_tissue_genotype_other,SRX2187000
SRX2187020,study_tissue_genotype_other,SRX2187001
SRX2187021,study_tissue_genotype_other,SRX2187003
SRX2187021,study_tissue_genotype_other,SRX2187004
SRX2187021,study_tissue_genotype_other,SRX2187005
SRX2187021,study_tissue_genotype_other,SRX2187006
SRX2187021,study_tissue_genotype_other,SRX2187007
SRX2187022,study_tissue_genotype_other,SRX2187003
SRX2187022,study_tissue_genotype_other,SRX2187004
SRX2187022,study_tissue_genotype_other,SRX2187005
SRX2187022,study_tissue_genotype_other,SRX2187006
SRX2187022,study_tissue_genotype_other,SRX2187007
SRX2187023,study_tissue_genotype_other,SRX2186999
SRX2187023,study_tissue_genotype_other,SRX2187000
SRX2187023,study_tissue_genotype_other,SRX2187001
SRX2187024,study_tissue_genotype_other,SRX2186999
SRX2187024,study_tissue_genotype_other,SRX2187000
SRX2187024,study_tissue_genotype_other,SRX2187001
SRX2187025,study_tissue_genotype_other,SRX2187003
SRX2187025,study_tissue_genotype_other,SRX2187004
SRX2187025,study_tissue_genotype_other,SRX2187005
SRX2187025,study_tissue_genotype_other,SRX2187006
SRX2187025,study_tissue_genotype_other,SRX2187007
SRX2187026,study_tissue_genotype_other,SRX2187003
SRX2187026,study_tissue_genotype_other,SRX2187004
SRX2187026,study_tissue_genotype_other,SRX2187005
SRX2187026,study_tissue_genotype_other,SRX2187006
SRX2187026,study_tissue_genotype_other,SRX2187007
SRX534096,study_tissue_genotype_other,SRX534111
SRX534096,study_tissue_genotype_other,SRX534112
SRX534098,study_tissue_genotype_other,SRX534115
SRX534098,study_tissue_genotype_other,SRX534116
SRX550078,study_tissue_genotype_other,SRX534107
SRX550078,study_tissue_genotype_other,SRX534108
SRX3581336,study_tissue_genotype_other,SRX3581358
SRX3581338,study_tissue_genotype_other,SRX3581357
SRX3581339,study_tissue_genotype_other,SRX3581358
SRX3581340,study_tissue_genotype_other,SRX3581359
SRX3581341,study_tissue_genotype_other,SRX3581357
SRX3581342,study_tissue_genotype_other,SRX3581357
SRX3581343,study_tissue_genotype_other,SRX3581358
SRX3581344,study_tissue_genotype_other,SRX3581358
SRX3581345,study_tissue_genotype_other,SRX3581359
SRX3581346,study_tissue_genotype_other,SRX3581359
SRX1070680,study_tissue_genotype_other,SRX1070685
SRX1070680,study_tissue_genotype_other,SRX1070686
SRX1070681,study_tissue_genotype_other,SRX1070685
SRX1070681,study_tissue_genotype_other,SRX1070686
SRX3084735,study_tissue_genotype_other,SRX3084742
SRX3084735,study_tissue_genotype_other,SRX3084743
SRX3084736,study_tissue_genotype_other,SRX3084744
SRX3084736,study_tissue_genotype_other,SRX3084745
SRX3084737,study_tissue_genotype_other,SRX3084744
SRX3084737,study_tissue_genotype_other,SRX3084745
SRX534094,study_tissue_genotype_other,SRX534107
SRX534094,study_tissue_genotype_other,SRX534108
SRX534097,study_tissue_genotype_other,SRX534113
SRX534097,study_tissue_genotype_other,SRX534114
SRX534099,study_tissue_genotype_other,SRX534117
SRX534099,study_tissue_genotype_other,SRX534118
SRX5729069,study_tissue_genotype_other,SRX5729077
SRX5729069,study_tissue_genotype_other,SRX5729078
SRX5729069,study_tissue_genotype_other,SRX5729079
SRX5729070,study_tissue_genotype_other,SRX5729089
SRX5729070,study_tissue_genotype_other,SRX5729090
SRX5729070,study_tissue_genotype_other,SRX5729091
SRX5729072,study_tissue_genotype_other,SRX5729077
SRX5729072,study_tissue_genotype_other,SRX5729078
SRX5729072,study_tissue_genotype_other,SRX5729079
SRX5729073,study_tissue_genotype_other,SRX5729080
SRX5729073,study_tissue_genotype_other,SRX5729081
SRX5729073,study_tissue_genotype_other,SRX5729082
SRX5729074,study_tissue_genotype_other,SRX5729080
SRX5729074,study_tissue_genotype_other,SRX5729081
SRX5729074,study_tissue_genotype_other,SRX5729082
SRX5729075,study_tissue_genotype_other,SRX5729089
SRX5729075,study_tissue_genotype_other,SRX5729090
SRX5729075,study_tissue_genotype_other,SRX5729091
SRX5729076,study_tissue_genotype_other,SRX5729092
SRX5729076,study_tissue_genotype_other,SRX5729093
SRX5729076,study_tissue_genotype_other,SRX5729094
SRX5729071,study_tissue_genotype_other,SRX5729092
SRX5729071,study_tissue_genotype_other,SRX5729093
SRX5729071,study_tissue_genotype_other,SRX5729094
SRX8122753,study_tissue_genotype_other,SRX8122761
SRX8122753,study_tissue_genotype_other,SRX8122764
SRX8122754,study_tissue_genotype_other,SRX8122762
SRX8122754,study_tissue_genotype_other,SRX8122767
SRX8122755,study_tissue_genotype_other,SRX8122763
SRX8122755,study_tissue_genotype_other,SRX8122768
SRX8122756,study_tissue_genotype_other,SRX8122761
SRX8122756,study_tissue_genotype_other,SRX8122764
SRX8122757,study_tissue_genotype_other,SRX8122765
SRX8122758,study_tissue_genotype_other,SRX8122766
SRX8122759,study_tissue_genotype_other,SRX8122762
SRX8122759,study_tissue_genotype_other,SRX8122767
SRX8122760,study_tissue_genotype_other,SRX8122763
SRX8122760,study_tissue_genotype_other,SRX8122768
SRX8122769,study_tissue_genotype_other,SRX8122761
SRX8122769,study_tissue_genotype_other,SRX8122764
SRX8122770,study_tissue_genotype_other,SRX8122766
SRX8122771,study_tissue_genotype_other,SRX8122763
SRX8122771,study_tissue_genotype_other,SRX8122768
SRX8122772,study_tissue_genotype_other,SRX8122761
SRX8122772,study_tissue_genotype_other,SRX8122764
SRX8122773,study_tissue_genotype_other,SRX8122766
SRX10775002,study_tissue_genotype_other,SRX10775058
SRX10775002,study_tissue_genotype_other,SRX10775062
SRX10775003,study_tissue_genotype_other,SRX10775059
SRX10775003,study_tissue_genotype_other,SRX10775063
SRX10775004,study_tissue_genotype_other,SRX10775060
SRX10775004,study_tissue_genotype_other,SRX10775064
SRX10775005,study_tissue_genotype_other,SRX10775061
SRX10775005,study_tissue_genotype_other,SRX10775065
SRX10775006,study_tissue_genotype_other,SRX10775058
SRX10775006,study_tissue_genotype_other,SRX10775062
SRX10775007,study_tissue_genotype_other,SRX10775059
SRX10775007,study_tissue_genotype_other,SRX10775063
SRX10775008,study_tissue_genotype_other,SRX10775060
SRX10775008,study_tissue_genotype_other,SRX10775064
SRX10775009,study_tissue_genotype_other,SRX10775061
SRX10775009,study_tissue_genotype_other,SRX10775065
SRX10775010,study_tissue_genotype_other,SRX10775058
SRX10775010,study_tissue_genotype_other,SRX10775062
SRX10775011,study_tissue_genotype_other,SRX10775059
SRX10775011,study_tissue_genotype_other,SRX10775063
SRX10775012,study_tissue_genotype_other,SRX10775060
