id,group,filename
ERX3974962,CTRL,ERX3974962_hg38.rlfs.rda
ERX3974969,CTRL,ERX3974969_hg38.rlfs.rda
ERX3974972,CTRL,ERX3974972_hg38.rlfs.rda
ERX3974976,CTRL,ERX3974976_hg38.rlfs.rda
ERX3974979,CTRL,ERX3974979_hg38.rlfs.rda
SRX10229641,CTRL,SRX10229641_hg38.rlfs.rda
SRX10229642,CTRL,SRX10229642_hg38.rlfs.rda
SRX10229643,CTRL,SRX10229643_hg38.rlfs.rda
SRX1025892,CTRL,SRX1025892_hg38.rlfs.rda
SRX1025896,CTRL,SRX1025896_hg38.rlfs.rda
SRX1025900,CTRL,SRX1025900_hg38.rlfs.rda
SRX1025904,CTRL,SRX1025904_hg38.rlfs.rda
SRX1025914,CTRL,SRX1025914_hg38.rlfs.rda
SRX1070681,CTRL,SRX1070681_hg38.rlfs.rda
SRX1798985,CTRL,SRX1798985_hg38.rlfs.rda
SRX1798989,CTRL,SRX1798989_hg38.rlfs.rda
SRX2642969,CTRL,SRX2642969_hg38.rlfs.rda
SRX2675009,CTRL,SRX2675009_hg38.rlfs.rda
SRX3229471,CTRL,SRX3229471_mm10.rlfs.rda
SRX3229473,CTRL,SRX3229473_mm10.rlfs.rda
SRX3229475,CTRL,SRX3229475_mm10.rlfs.rda
SRX3683088,CTRL,SRX3683088_hg38.rlfs.rda
SRX4089416,CTRL,SRX4089416_hg38.rlfs.rda
SRX4671916,CTRL,SRX4671916_hg38.rlfs.rda
SRX4671917,CTRL,SRX4671917_hg38.rlfs.rda
SRX4776648,CTRL,SRX4776648_hg38.rlfs.rda
SRX5290956,CTRL,SRX5290956_mm10.rlfs.rda
SRX5547607,CTRL,SRX5547607_hg38.rlfs.rda
SRX6686237,CTRL,SRX6686237_hg38.rlfs.rda
SRX6779956,CTRL,SRX6779956_hg38.rlfs.rda
SRX6779957,CTRL,SRX6779957_hg38.rlfs.rda
SRX6779958,CTRL,SRX6779958_hg38.rlfs.rda
SRX6779959,CTRL,SRX6779959_hg38.rlfs.rda
SRX6893683,CTRL,SRX6893683_hg38.rlfs.rda
SRX6893684,CTRL,SRX6893684_hg38.rlfs.rda
SRX6893685,CTRL,SRX6893685_hg38.rlfs.rda
SRX7347913,CTRL,SRX7347913_hg38.rlfs.rda
SRX7583979,CTRL,SRX7583979_hg38.rlfs.rda
SRX7583980,CTRL,SRX7583980_hg38.rlfs.rda
SRX7671349,CTRL,SRX7671349_hg38.rlfs.rda
SRX8110932,CTRL,SRX8110932_hg38.rlfs.rda
SRX8388985,CTRL,SRX8388985_hg38.rlfs.rda
SRX8388986,CTRL,SRX8388986_hg38.rlfs.rda
SRX8776132,CTRL,SRX8776132_hg38.rlfs.rda
SRX8908660,CTRL,SRX8908660_hg38.rlfs.rda
SRX8908661,CTRL,SRX8908661_hg38.rlfs.rda
SRX8961680,CTRL,SRX8961680_hg38.rlfs.rda
SRX8961686,CTRL,SRX8961686_hg38.rlfs.rda
SRX9182639,CTRL,SRX9182639_hg38.rlfs.rda
SRX9519245,CTRL,SRX9519245_mm10.rlfs.rda
SRX9519247,CTRL,SRX9519247_mm10.rlfs.rda
SRX9523544,CTRL,SRX9523544_hg38.rlfs.rda
SRX9523546,CTRL,SRX9523546_hg38.rlfs.rda
SRX9684569,CTRL,SRX9684569_hg38.rlfs.rda
SRX9684570,CTRL,SRX9684570_hg38.rlfs.rda
SRX9684572,CTRL,SRX9684572_hg38.rlfs.rda
SRX9684574,CTRL,SRX9684574_hg38.rlfs.rda
SRX978417,CTRL,SRX978417_mm10.rlfs.rda
SRX984414,CTRL,SRX984414_mm10.rlfs.rda
ERX3974959,CTRL,ERX3974959_hg38.rlfs.rda
ERX3974966,CTRL,ERX3974966_hg38.rlfs.rda
ERX3974973,CTRL,ERX3974973_hg38.rlfs.rda
ERX3974980,CTRL,ERX3974980_hg38.rlfs.rda
SRX10229635,CTRL,SRX10229635_hg38.rlfs.rda
SRX10229636,CTRL,SRX10229636_hg38.rlfs.rda
SRX10229637,CTRL,SRX10229637_hg38.rlfs.rda
SRX10229638,CTRL,SRX10229638_hg38.rlfs.rda
SRX10229639,CTRL,SRX10229639_hg38.rlfs.rda
SRX10229640,CTRL,SRX10229640_hg38.rlfs.rda
SRX1025893,CTRL,SRX1025893_hg38.rlfs.rda
SRX1025905,CTRL,SRX1025905_hg38.rlfs.rda
SRX1025915,CTRL,SRX1025915_hg38.rlfs.rda
SRX1029476,CTRL,SRX1029476_hg38.rlfs.rda
SRX1029478,CTRL,SRX1029478_hg38.rlfs.rda
SRX1798984,CTRL,SRX1798984_hg38.rlfs.rda
SRX1798987,CTRL,SRX1798987_hg38.rlfs.rda
SRX1798990,CTRL,SRX1798990_hg38.rlfs.rda
SRX2187015,CTRL,SRX2187015_hg38.rlfs.rda
SRX2187016,CTRL,SRX2187016_hg38.rlfs.rda
SRX2187017,CTRL,SRX2187017_hg38.rlfs.rda
