pscore	npeaks	lpeaks	avelpeak
15.00	9809	6403150	652.78
14.72	10965	7560280	689.49
14.44	10965	7560280	689.49
14.16	10965	7560280	689.49
13.88	12385	8998420	726.56
13.60	12385	8998420	726.56
13.32	12385	8998420	726.56
13.04	12385	8998420	726.56
12.76	14060	10726160	762.88
12.48	14060	10726160	762.88
12.20	14060	10726160	762.88
11.92	16090	12811290	796.23
11.64	16090	12811290	796.23
11.36	16090	12811290	796.23
11.08	16090	12811290	796.23
10.80	18551	15269500	823.11
10.52	18551	15269500	823.11
10.24	18551	15269500	823.11
9.96	21663	18257500	842.80
9.68	21663	18257500	842.80
9.40	21663	18257500	842.80
9.12	21663	18257500	842.80
8.84	26030	22116390	849.65
8.56	26030	22116390	849.65
8.28	26030	22116390	849.65
8.00	26030	22116390	849.65
7.72	31749	27197710	856.65
7.44	31749	27197710	856.65
7.16	31749	27197710	856.65
6.88	39034	33740480	864.39
6.60	39034	33740480	864.39
6.32	39034	33740480	864.39
6.04	39034	33740480	864.39
5.76	49515	42974171	867.90
5.48	49515	42974171	867.90
5.20	49515	42974171	867.90
4.92	65518	57193651	872.95
4.64	65518	57193651	872.95
4.36	65518	57193651	872.95
4.08	65518	57193651	872.95
3.80	92679	80391091	867.41
3.52	92679	80391091	867.41
3.24	92679	80391091	867.41
2.96	146470	126992237	867.02
2.68	146470	126992237	867.02
2.40	146470	126992237	867.02
2.12	146470	126992237	867.02
1.84	305292	371355107	1216.39
1.56	305292	371355107	1216.39
