pscore	npeaks	lpeaks	avelpeak
57.00	12201	14435660	1183.15
55.88	13762	16905980	1228.45
54.76	14549	18230310	1253.03
53.64	15425	19610140	1271.32
52.52	16358	21090230	1289.29
51.40	17124	22607290	1320.21
50.28	17891	24175410	1351.26
49.16	18747	25819070	1377.24
48.04	19609	27549210	1404.93
46.92	21562	31240590	1448.87
45.80	22600	33187500	1468.47
44.68	23702	35272270	1488.16
43.56	24737	37425000	1512.92
42.44	25731	39670350	1541.73
41.32	26722	42028320	1572.80
40.20	27890	44485350	1595.03
39.08	29063	47034660	1618.37
37.96	31750	52675419	1659.07
36.84	33014	55704069	1687.29
35.72	34318	58852781	1714.92
34.60	35636	62179011	1744.84
33.48	37235	65742432	1765.61
32.36	38913	69506768	1786.21
31.24	40309	73500018	1823.41
30.12	41968	77734108	1852.22
29.00	43744	82225128	1879.69
27.88	47531	92141988	1938.57
26.76	49448	97637093	1974.54
25.64	51467	103482693	2010.66
24.52	53795	109779073	2040.69
23.40	56337	116598283	2069.66
22.28	58882	123902353	2104.25
21.16	61647	131778193	2137.63
20.04	64409	140178963	2176.39
18.92	70433	158905956	2256.13
17.80	73938	169326392	2290.11
16.68	77200	180481591	2337.84
15.56	80561	192451341	2388.89
14.44	84398	205412531	2433.86
13.32	88711	219051482	2469.27
12.20	94156	233964722	2484.86
11.08	100055	250331502	2501.94
9.96	116625	289118326	2479.04
8.84	128538	313598030	2439.73
7.72	143457	344463830	2401.16
6.60	165256	386147150	2336.66
5.48	186969	439969120	2353.17
4.36	212744	506163580	2379.21
3.24	240506	588902760	2448.60
